id,timestamp,prob,type,event_idx,event_index,prob_gamma
RM33,2016-10-30 01:38:36.130,0.5644873,s,,,
FDMO,2016-10-30 01:39:05.590,0.95992684,p,,,
FDMO,2016-10-30 01:39:06.920,0.906553,s,,,
RM33,2016-10-30 01:40:16.020,0.9649642,p,,,
RM33,2016-10-30 01:40:19.390,0.8521862,s,,,
FDMO,2016-10-30 01:40:21.390,0.87758106,p,,,
FDMO,2016-10-30 01:40:24.120,0.77460605,s,,,
FDMO,2016-10-30 01:42:25.150,0.93898016,p,,,
FDMO,2016-10-30 01:42:26.070,0.81727827,s,,,
FDMO,2016-10-30 01:44:13.320,0.69041806,p,,,
RM33,2016-10-30 01:44:15.060,0.94712067,p,,,
FDMO,2016-10-30 01:44:16.930,0.7774733,s,,,
RM33,2016-10-30 01:44:20.510,0.78777605,s,,,
FDMO,2016-10-30 01:44:59.740,0.86796016,p,,,
FDMO,2016-10-30 01:45:02.320,0.65784883,s,,,
RM33,2016-10-30 01:45:04.970,0.8630253,p,,,
RM33,2016-10-30 01:45:12.050,0.5625582,s,,,
FDMO,2016-10-30 01:47:18.300,0.8785072,p,,,
RM33,2016-10-30 01:47:20.420,0.9781818,p,,,
FDMO,2016-10-30 01:47:22.480,0.6956456,s,,,
RM33,2016-10-30 01:47:25.670,0.7948545,s,,,
RM33,2016-10-30 01:48:40.920,0.9693687,p,,,
RM33,2016-10-30 01:48:46.410,0.7363088,s,,,
FDMO,2016-10-30 01:48:59.760,0.7660643,p,,,
FDMO,2016-10-30 01:49:00.230,0.5639353,s,,,
FDMO,2016-10-30 01:50:23.250,0.7346786,p,,,
FDMO,2016-10-30 01:50:24.010,0.6306227,s,,,
FDMO,2016-10-30 01:51:36.410,0.9691233,p,,,
FDMO,2016-10-30 01:51:37.430,0.9299718,s,,,
RM33,2016-10-30 01:51:52.760,0.5498071,s,,,
FDMO,2016-10-30 01:52:16.590,0.73566127,s,,,
RM33,2016-10-30 01:54:04.480,0.8167255,s,,,
FDMO,2016-10-30 01:56:03.640,0.6416482,p,,,
FDMO,2016-10-30 01:56:06.860,0.71596,s,,,
FDMO,2016-10-30 01:57:32.530,0.5236423,s,,,
FDMO,2016-10-30 01:58:57.480,0.74227023,p,,,
FDMO,2016-10-30 01:58:58.320,0.616272,s,,,
FDMO,2016-10-30 01:59:41.560,0.8485085,p,,,
FDMO,2016-10-30 02:00:20.420,0.5724154,p,,,
FDMO,2016-10-30 02:00:21.180,0.5482088,s,,,
FDMO,2016-10-30 02:02:17.520,0.95926505,p,,,
FDMO,2016-10-30 02:02:18.320,0.9073732,s,,,
RM33,2016-10-30 02:03:28.970,0.6545881,s,,,
RM33,2016-10-30 02:03:55.900,0.7299478,p,,,
FDMO,2016-10-30 02:03:59.720,0.5512017,p,,,
RM33,2016-10-30 02:04:00.410,0.7269756,s,,,
FDMO,2016-10-30 02:05:01.380,0.95914376,p,,,
FDMO,2016-10-30 02:05:02.510,0.9235015,s,,,
RM33,2016-10-30 02:05:37.330,0.95108676,p,,,
RM33,2016-10-30 02:05:43.830,0.57360125,s,,,
FDMO,2016-10-30 02:07:06.370,0.5570205,p,,,
RM33,2016-10-30 02:08:09.110,0.8699615,p,,,
RM33,2016-10-30 02:08:15.380,0.5247455,s,,,
FDMO,2016-10-30 02:11:28.070,0.85990274,p,,,
RM33,2016-10-30 02:11:55.430,0.8392117,p,,,
RM33,2016-10-30 02:12:01.120,0.5039631,s,,,
FDMO,2016-10-30 02:12:15.060,0.9763911,p,,,
FDMO,2016-10-30 02:12:15.870,0.9279629,s,,,
RM33,2016-10-30 02:12:21.600,0.9644393,p,,,
RM33,2016-10-30 02:12:24.780,0.9131284,s,,,
RM33,2016-10-30 02:14:51.140,0.86860836,p,,,
FDMO,2016-10-30 02:15:41.620,0.9754248,p,,,
FDMO,2016-10-30 02:15:43.570,0.9082649,s,,,
RM33,2016-10-30 02:15:52.120,0.76276076,p,,,
RM33,2016-10-30 02:15:55.340,0.80201375,s,,,
RM33,2016-10-30 02:17:14.080,0.7622489,p,,,
FDMO,2016-10-30 02:17:59.190,0.96622866,p,,,
FDMO,2016-10-30 02:18:00.240,0.93671393,s,,,
FDMO,2016-10-30 02:19:21.570,0.8844425,p,,,
FDMO,2016-10-30 02:19:22.280,0.5854789,s,,,
RM33,2016-10-30 02:19:30.290,0.7635958,p,,,
FDMO,2016-10-30 02:20:26.090,0.96210843,p,,,
FDMO,2016-10-30 02:20:28.040,0.89840937,s,,,
RM33,2016-10-30 02:20:35.320,0.51640093,p,,,
FDMO,2016-10-30 02:21:51.720,0.7490935,p,,,
FDMO,2016-10-30 02:22:13.530,0.6445167,p,,,
FDMO,2016-10-30 02:22:16.950,0.7622051,s,,,
RM33,2016-10-30 02:22:17.310,0.89942616,p,,,
RM33,2016-10-30 02:22:23.300,0.59229755,s,,,
FDMO,2016-10-30 02:23:01.520,0.95367396,p,,,
FDMO,2016-10-30 02:23:37.130,0.97139347,p,,,
FDMO,2016-10-30 02:23:37.930,0.82098204,s,,,
RM33,2016-10-30 02:23:46.940,0.58571124,p,,,
FDMO,2016-10-30 02:24:16.450,0.6881441,p,,,
RM33,2016-10-30 02:24:20.680,0.56001365,p,,,
FDMO,2016-10-30 02:25:30.660,0.9046738,p,,,
FDMO,2016-10-30 02:25:31.720,0.85099185,s,,,
FDMO,2016-10-30 02:25:55.540,0.637125,p,,,
RM33,2016-10-30 02:26:47.460,0.9626716,p,,,
RM33,2016-10-30 02:26:49.630,0.9317014,s,,,
FDMO,2016-10-30 02:27:52.520,0.983733,p,,,
FDMO,2016-10-30 02:27:53.390,0.9342999,s,,,
RM33,2016-10-30 02:28:00.740,0.94040847,p,,,
RM33,2016-10-30 02:28:08.850,0.5821219,s,,,
FDMO,2016-10-30 02:29:22.940,0.9755297,p,,,
FDMO,2016-10-30 02:29:25.930,0.8820945,s,,,
RM33,2016-10-30 02:29:26.240,0.9608023,p,,,
RM33,2016-10-30 02:29:32.230,0.7039598,s,,,
FDMO,2016-10-30 02:30:49.980,0.61035776,p,,,
FDMO,2016-10-30 02:30:52.670,0.537805,s,,,
FDMO,2016-10-30 02:32:07.460,0.7242755,p,,,
RM33,2016-10-30 02:32:16.700,0.66428125,s,,,
FDMO,2016-10-30 02:34:13.340,0.7588879,p,,,
FDMO,2016-10-30 02:34:14.700,0.719424,s,,,
RM33,2016-10-30 02:34:20.720,0.78793454,p,,,
RM33,2016-10-30 02:34:28.380,0.57693285,s,,,
FDMO,2016-10-30 02:35:14.880,0.9023148,p,,,
FDMO,2016-10-30 02:35:17.170,0.92775506,s,,,
RM33,2016-10-30 02:35:20.000,0.5294294,p,,,
FDMO,2016-10-30 02:36:29.980,0.85961586,p,,,
RM33,2016-10-30 02:36:36.630,0.5013502,s,,,
RM33,2016-10-30 02:39:25.430,0.94188976,p,,,
RM33,2016-10-30 02:39:29.480,0.80299735,s,,,
FDMO,2016-10-30 02:41:01.040,0.7610551,p,,,
FDMO,2016-10-30 02:43:02.420,0.89718175,p,,,
FDMO,2016-10-30 02:43:03.250,0.7099576,s,,,
RM33,2016-10-30 02:44:35.440,0.8242026,p,,,
RM33,2016-10-30 02:44:41.210,0.7842746,s,,,
FDMO,2016-10-30 02:44:49.360,0.9495875,p,,,
FDMO,2016-10-30 02:46:20.580,0.96508884,p,,,
FDMO,2016-10-30 02:46:22.410,0.94571656,s,,,
RM33,2016-10-30 02:46:35.550,0.5439855,s,,,
FDMO,2016-10-30 02:46:49.690,0.9500644,p,,,
RM33,2016-10-30 02:46:51.720,0.96270233,p,,,
FDMO,2016-10-30 02:46:53.210,0.7055728,s,,,
RM33,2016-10-30 02:46:57.120,0.788103,s,,,
FDMO,2016-10-30 02:48:05.930,0.7065755,p,,,
FDMO,2016-10-30 02:48:07.300,0.81187165,s,,,
