id,timestamp,prob,type
IV.FDMO.,2016-10-30 01:19:47.660,0.54809195,p
IV.FDMO.,2016-10-30 01:20:00.440,0.5758798,p
IV.FDMO.,2016-10-30 01:22:16.090,0.84767544,p
IV.FDMO.,2016-10-30 01:23:24.750,0.7782915,p
IV.RM33.,2016-10-30 01:25:48.720,0.5128796,p
IV.RM33.,2016-10-30 01:25:54.970,0.60229707,s
IV.FDMO.,2016-10-30 01:26:38.830,0.71563375,p
IV.FDMO.,2016-10-30 01:26:41.140,0.6368983,s
IV.FDMO.,2016-10-30 01:28:55.770,0.8284644,p
IV.FDMO.,2016-10-30 01:29:44.080,0.89620477,p
IV.FDMO.,2016-10-30 01:29:45.330,0.6559249,s
IV.FDMO.,2016-10-30 01:30:47.310,0.89380217,p
IV.RM33.,2016-10-30 01:30:50.340,0.86640716,p
IV.RM33.,2016-10-30 01:30:56.270,0.5274737,s
IV.RM33.,2016-10-30 01:31:22.620,0.9407376,p
IV.FDMO.,2016-10-30 01:31:24.230,0.8692573,p
IV.RM33.,2016-10-30 01:31:26.570,0.8808303,s
IV.FDMO.,2016-10-30 01:31:29.380,0.56919605,s
IV.RM33.,2016-10-30 01:32:49.910,0.9590094,p
IV.RM33.,2016-10-30 01:32:53.270,0.83113694,s
IV.FDMO.,2016-10-30 01:33:16.020,0.58864915,p
IV.FDMO.,2016-10-30 01:34:20.980,0.56953853,p
IV.FDMO.,2016-10-30 01:34:58.640,0.95493585,p
IV.RM33.,2016-10-30 01:35:51.440,0.8238672,p
IV.RM33.,2016-10-30 01:35:56.920,0.5456864,s
IV.FDMO.,2016-10-30 01:37:47.040,0.63819104,p
IV.RM33.,2016-10-30 01:38:36.130,0.5644873,s
IV.FDMO.,2016-10-30 01:39:05.590,0.95992684,p
IV.FDMO.,2016-10-30 01:39:06.920,0.906553,s
IV.RM33.,2016-10-30 01:40:16.020,0.9649642,p
IV.RM33.,2016-10-30 01:40:19.390,0.8521862,s
IV.FDMO.,2016-10-30 01:40:21.390,0.87758106,p
IV.FDMO.,2016-10-30 01:40:24.120,0.77460605,s
IV.FDMO.,2016-10-30 01:42:25.150,0.93898016,p
IV.FDMO.,2016-10-30 01:42:26.070,0.81727827,s
IV.FDMO.,2016-10-30 01:44:13.320,0.69041806,p
IV.RM33.,2016-10-30 01:44:15.060,0.94712067,p
IV.FDMO.,2016-10-30 01:44:16.930,0.7774733,s
IV.RM33.,2016-10-30 01:44:20.510,0.78777605,s
IV.FDMO.,2016-10-30 01:44:59.740,0.86796016,p
IV.FDMO.,2016-10-30 01:45:02.320,0.65784883,s
IV.RM33.,2016-10-30 01:45:04.970,0.8630253,p
IV.RM33.,2016-10-30 01:45:12.050,0.5625582,s
IV.FDMO.,2016-10-30 01:47:18.300,0.8785072,p
IV.RM33.,2016-10-30 01:47:20.420,0.9781818,p
IV.FDMO.,2016-10-30 01:47:22.480,0.6956456,s
IV.RM33.,2016-10-30 01:47:25.670,0.7948545,s
IV.RM33.,2016-10-30 01:48:40.920,0.9693687,p
IV.RM33.,2016-10-30 01:48:46.410,0.7363088,s
IV.FDMO.,2016-10-30 01:48:59.760,0.7660643,p
IV.FDMO.,2016-10-30 01:49:00.230,0.5639353,s
IV.FDMO.,2016-10-30 01:50:23.250,0.7346786,p
IV.FDMO.,2016-10-30 01:50:24.010,0.6306227,s
IV.FDMO.,2016-10-30 01:51:36.410,0.9691233,p
IV.FDMO.,2016-10-30 01:51:37.430,0.9299718,s
IV.RM33.,2016-10-30 01:51:52.760,0.5498071,s
IV.FDMO.,2016-10-30 01:52:16.590,0.73566127,s
IV.RM33.,2016-10-30 01:54:04.480,0.8167255,s
IV.FDMO.,2016-10-30 01:56:03.640,0.6416482,p
IV.FDMO.,2016-10-30 01:56:06.860,0.71596,s
IV.FDMO.,2016-10-30 01:57:32.530,0.5236423,s
IV.FDMO.,2016-10-30 01:58:57.480,0.74227023,p
IV.FDMO.,2016-10-30 01:58:58.320,0.616272,s
IV.FDMO.,2016-10-30 01:59:41.560,0.8485085,p
IV.FDMO.,2016-10-30 02:00:20.420,0.5724154,p
IV.FDMO.,2016-10-30 02:00:21.180,0.5482088,s
IV.FDMO.,2016-10-30 02:02:17.520,0.95926505,p
IV.FDMO.,2016-10-30 02:02:18.320,0.9073732,s
IV.RM33.,2016-10-30 02:03:28.970,0.6545881,s
IV.RM33.,2016-10-30 02:03:55.900,0.7299478,p
IV.FDMO.,2016-10-30 02:03:59.720,0.5512017,p
IV.RM33.,2016-10-30 02:04:00.410,0.7269756,s
IV.FDMO.,2016-10-30 02:05:01.380,0.95914376,p
IV.FDMO.,2016-10-30 02:05:02.510,0.9235015,s
IV.RM33.,2016-10-30 02:05:37.330,0.95108676,p
IV.RM33.,2016-10-30 02:05:43.830,0.57360125,s
IV.FDMO.,2016-10-30 02:07:06.370,0.5570205,p
IV.RM33.,2016-10-30 02:08:09.110,0.8699615,p
IV.RM33.,2016-10-30 02:08:15.380,0.5247455,s
IV.FDMO.,2016-10-30 02:11:28.070,0.85990274,p
IV.RM33.,2016-10-30 02:11:55.430,0.8392117,p
IV.RM33.,2016-10-30 02:12:01.120,0.5039631,s
IV.FDMO.,2016-10-30 02:12:15.060,0.9763911,p
IV.FDMO.,2016-10-30 02:12:15.870,0.9279629,s
IV.RM33.,2016-10-30 02:12:21.600,0.9644393,p
IV.RM33.,2016-10-30 02:12:24.780,0.9131284,s
IV.RM33.,2016-10-30 02:14:51.140,0.86860836,p
IV.FDMO.,2016-10-30 02:15:41.620,0.9754248,p
IV.FDMO.,2016-10-30 02:15:43.570,0.9082649,s
IV.RM33.,2016-10-30 02:15:52.120,0.76276076,p
IV.RM33.,2016-10-30 02:15:55.340,0.80201375,s
IV.RM33.,2016-10-30 02:17:14.080,0.7622489,p
IV.FDMO.,2016-10-30 02:17:59.190,0.96622866,p
IV.FDMO.,2016-10-30 02:18:00.240,0.93671393,s
IV.FDMO.,2016-10-30 02:19:21.570,0.8844425,p
IV.FDMO.,2016-10-30 02:19:22.280,0.5854789,s
IV.RM33.,2016-10-30 02:19:30.290,0.7635958,p
IV.FDMO.,2016-10-30 02:20:26.090,0.96210843,p
IV.FDMO.,2016-10-30 02:20:28.040,0.89840937,s
IV.RM33.,2016-10-30 02:20:35.320,0.51640093,p
IV.FDMO.,2016-10-30 02:21:51.720,0.7490935,p
IV.FDMO.,2016-10-30 02:22:13.530,0.6445167,p
IV.FDMO.,2016-10-30 02:22:16.950,0.7622051,s
IV.RM33.,2016-10-30 02:22:17.310,0.89942616,p
IV.RM33.,2016-10-30 02:22:23.300,0.59229755,s
IV.FDMO.,2016-10-30 02:23:01.520,0.95367396,p
IV.FDMO.,2016-10-30 02:23:37.130,0.97139347,p
IV.FDMO.,2016-10-30 02:23:37.930,0.82098204,s
IV.RM33.,2016-10-30 02:23:46.940,0.58571124,p
IV.FDMO.,2016-10-30 02:24:16.450,0.6881441,p
IV.RM33.,2016-10-30 02:24:20.680,0.56001365,p
IV.FDMO.,2016-10-30 02:25:30.660,0.9046738,p
IV.FDMO.,2016-10-30 02:25:31.720,0.85099185,s
IV.FDMO.,2016-10-30 02:25:55.540,0.637125,p
IV.RM33.,2016-10-30 02:26:47.460,0.9626716,p
IV.RM33.,2016-10-30 02:26:49.630,0.9317014,s
IV.FDMO.,2016-10-30 02:27:52.520,0.983733,p
IV.FDMO.,2016-10-30 02:27:53.390,0.9342999,s
IV.RM33.,2016-10-30 02:28:00.740,0.94040847,p
IV.RM33.,2016-10-30 02:28:08.850,0.5821219,s
IV.FDMO.,2016-10-30 02:29:22.940,0.9755297,p
IV.FDMO.,2016-10-30 02:29:25.930,0.8820945,s
IV.RM33.,2016-10-30 02:29:26.240,0.9608023,p
IV.RM33.,2016-10-30 02:29:32.230,0.7039598,s
IV.FDMO.,2016-10-30 02:30:49.980,0.61035776,p
IV.FDMO.,2016-10-30 02:30:52.670,0.537805,s
IV.FDMO.,2016-10-30 02:32:07.460,0.7242755,p
IV.RM33.,2016-10-30 02:32:16.700,0.66428125,s
IV.FDMO.,2016-10-30 02:34:13.340,0.7588879,p
IV.FDMO.,2016-10-30 02:34:14.700,0.719424,s
IV.RM33.,2016-10-30 02:34:20.720,0.78793454,p
IV.RM33.,2016-10-30 02:34:28.380,0.57693285,s
IV.FDMO.,2016-10-30 02:35:14.880,0.9023148,p
IV.FDMO.,2016-10-30 02:35:17.170,0.92775506,s
IV.RM33.,2016-10-30 02:35:20.000,0.5294294,p
IV.FDMO.,2016-10-30 02:36:29.980,0.85961586,p
IV.RM33.,2016-10-30 02:36:36.630,0.5013502,s
IV.RM33.,2016-10-30 02:39:25.430,0.94188976,p
IV.RM33.,2016-10-30 02:39:29.480,0.80299735,s
IV.FDMO.,2016-10-30 02:41:01.040,0.7610551,p
IV.FDMO.,2016-10-30 02:43:02.420,0.89718175,p
IV.FDMO.,2016-10-30 02:43:03.250,0.7099576,s
IV.RM33.,2016-10-30 02:44:35.440,0.8242026,p
IV.RM33.,2016-10-30 02:44:41.210,0.7842746,s
IV.FDMO.,2016-10-30 02:44:49.360,0.9495875,p
IV.FDMO.,2016-10-30 02:46:20.580,0.96508884,p
IV.FDMO.,2016-10-30 02:46:22.410,0.94571656,s
IV.RM33.,2016-10-30 02:46:35.550,0.5439855,s
IV.FDMO.,2016-10-30 02:46:49.690,0.9500644,p
IV.RM33.,2016-10-30 02:46:51.720,0.96270233,p
IV.FDMO.,2016-10-30 02:46:53.210,0.7055728,s
IV.RM33.,2016-10-30 02:46:57.120,0.788103,s
IV.FDMO.,2016-10-30 02:48:05.930,0.7065755,p
IV.FDMO.,2016-10-30 02:48:07.300,0.81187165,s
IV.RM33.,2016-10-30 02:48:19.740,0.76464945,p
IV.RM33.,2016-10-30 02:48:23.980,0.51840526,s
IV.FDMO.,2016-10-30 02:49:52.790,0.9058071,p
IV.FDMO.,2016-10-30 02:49:53.500,0.7330193,s
IV.FDMO.,2016-10-30 02:53:34.590,0.87329197,p
IV.FDMO.,2016-10-30 02:54:26.750,0.6351761,p
IV.FDMO.,2016-10-30 02:56:16.010,0.50362664,s
IV.FDMO.,2016-10-30 02:56:49.740,0.9492171,p
IV.FDMO.,2016-10-30 02:56:53.330,0.6300102,s
IV.FDMO.,2016-10-30 02:57:28.510,0.9779796,p
IV.FDMO.,2016-10-30 02:57:29.890,0.94861895,s
IV.FDMO.,2016-10-30 02:59:26.120,0.9524808,p
IV.FDMO.,2016-10-30 02:59:27.020,0.86417264,s
IV.FDMO.,2016-10-30 03:01:02.020,0.8344743,p
IV.FDMO.,2016-10-30 03:02:05.350,0.7269636,s
IV.FDMO.,2016-10-30 03:03:17.850,0.9665753,p
IV.FDMO.,2016-10-30 03:03:20.670,0.853391,s
IV.FDMO.,2016-10-30 03:07:27.940,0.9860386,p
IV.FDMO.,2016-10-30 03:07:28.970,0.95897806,s
IV.FDMO.,2016-10-30 03:08:29.190,0.98396873,p
IV.FDMO.,2016-10-30 03:08:30.320,0.85429335,s
IV.FDMO.,2016-10-30 03:08:45.630,0.6452637,p
IV.FDMO.,2016-10-30 03:08:48.810,0.5934445,s
IV.FDMO.,2016-10-30 03:09:24.380,0.92130965,p
IV.FDMO.,2016-10-30 03:09:27.690,0.6090579,s
IV.FDMO.,2016-10-30 03:11:57.950,0.9631257,p
IV.FDMO.,2016-10-30 03:12:01.690,0.6016252,s
IV.FDMO.,2016-10-30 03:14:08.890,0.74633604,p
IV.FDMO.,2016-10-30 03:14:45.320,0.7463027,p
IV.FDMO.,2016-10-30 03:14:46.330,0.82645714,s
IV.FDMO.,2016-10-30 03:15:13.440,0.88000417,p
IV.FDMO.,2016-10-30 03:15:44.590,0.7669617,p
